0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.0,0.0,0.38069937,0.0,0.26817837,0.0,0.35112226,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.34629944,0.0,0.0,0.0,0.0,0.35300422,0.0,0.30069634,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.37645912,0.0,0.0,0.0,0.33758244,0.0,0.0,0.0,0.28595835
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44979507,0.5502049,0.0
0.33572236,0.0,0.0,0.32288766,0.0,0.34138998,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.48116404,0.0,0.0,0.0,0.51883596,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.5365946,0.0,0.0,0.4634053,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
